ticker,lists,score,c2,c3,volidx,close_16,close_17,chg1d_pct,c1_17,c4_17,c5_17,c6_17,clock_17,dist_grav_pct,four_17,c5_days_17,still_light_17
NEE,SubSector_R12+Combined_R22+RateHike_R2_迴避,3,True,True,95.0,79.63,79.26,-0.46,False,True,False,False,6:26,-4.99,False,3.0,False
AEO,Combined_R22,3,True,False,67.8,15.46,15.92,2.98,False,False,False,True,5:56,-0.84,False,3.0,True
MDGL,SubSector_R12,3,False,True,77.6,521.96,518.83,-0.6,True,False,False,True,5:17,-2.01,False,3.0,False
AEP,SubSector_R12,3,True,True,93.9,120.03,120.27,0.2,False,False,True,True,4:55,-2.2,False,0.0,True
BFH,Combined_R22,3,True,True,82.4,108.0,102.69,-4.92,False,False,False,False,3:30,-4.62,False,4.0,False
DOC,SubSector_R12,3,True,True,92.8,20.72,20.6,-0.58,False,False,False,True,11:11,-0.79,False,4.0,False
JCI,SubSector_R12,3,True,True,86.7,145.18,146.44,0.87,False,False,False,True,10:33,1.49,False,4.0,False
OUST,Combined_R22,3,True,False,41.6,38.12,40.25,5.59,False,False,False,True,10:22,2.59,False,4.0,False
CDNS,AI_R13+SubSector_R12+Combined_R22+RateHike_R2_受惠,3,True,True,78.4,294.9,302.95,2.73,False,False,False,True,10:13,-1.18,False,4.0,False
MPWR,SubSector_R12+Combined_R22,3,True,False,70.1,1277.68,1380.62,8.06,True,True,False,False,9:55,7.95,False,4.0,False
DECK,SubSector_R12,3,True,True,80.2,80.23,79.83,-0.5,False,True,False,False,9:54,-6.49,False,4.0,False
LUNR,SubSector_R12,3,True,False,50.1,15.72,16.24,3.31,True,True,False,True,9:45,-1.83,False,4.0,False
AWR,SubSector_R12+Combined_R22,3,True,True,92.9,84.85,84.39,-0.54,False,True,False,False,8:49,-4.23,False,4.0,False
DLR,AI_R13+SubSector_R12,3,False,True,84.1,186.33,185.65,-0.36,False,True,False,True,8:49,-1.41,False,4.0,True
OWL,SubSector_R12,3,True,True,75.0,10.02,9.88,-1.4,False,True,False,False,8:49,-15.63,False,4.0,True
PFGC,SubSector_R12,3,True,True,86.7,92.41,92.19,-0.24,False,True,False,False,8:49,-8.91,False,4.0,True
POOL,SubSector_R12,3,True,True,81.3,167.92,168.6,0.4,False,True,False,False,8:49,-7.18,False,4.0,True
RCL,SubSector_R12,3,True,True,84.2,250.25,234.89,-6.14,False,True,False,False,8:49,-14.42,False,4.0,False
SBGSY,AI_R13,3,False,True,84.3,67.75,68.04,0.43,False,True,False,True,9:38,0.17,False,4.0,False
URBN,Combined_R22,3,True,True,77.4,74.21,75.02,1.09,False,True,True,True,8:49,-3.62,False,0.0,True
USFD,SubSector_R12,3,True,True,84.3,94.22,94.2,-0.02,False,True,False,False,8:49,-7.56,False,4.0,True
VRTX,SubSector_R12+Combined_R22,3,False,True,87.7,510.72,514.99,0.84,False,True,False,True,8:49,-2.94,False,4.0,True
PBF,Combined_R22+10MA_R20_跌出,3,False,False,56.1,72.48,71.44,-1.43,True,True,False,True,8:01,-3.09,False,4.0,False
DD,Combined_R22,3,True,True,89.6,129.79,131.8,1.55,False,False,False,True,10:18,-2.07,False,5.0,False
GEO,Combined_R22,3,False,True,79.1,30.25,29.74,-1.69,False,True,False,False,8:49,-5.41,False,5.0,False
KFY,Combined_R22,3,True,True,86.3,76.77,75.86,-1.19,False,True,False,False,8:49,-7.09,False,5.0,True
LYB,SubSector_R12,3,False,True,79.6,60.24,59.24,-1.66,False,True,False,False,8:49,-8.23,False,5.0,False
TDW,SubSector_R12,3,True,False,69.7,85.57,87.16,1.86,False,True,True,False,8:49,-5.92,False,0.0,True
CNQ,Combined_R22,3,False,True,85.4,48.28,47.77,-1.06,True,True,False,False,8:49,-4.67,False,5.0,False
DT,10MA_R20,3,True,True,78.1,56.4,57.2,1.42,True,False,False,False,11:06,8.98,False,6.0,False
IONQ,SubSector_R12+RateHike_R2_迴避,3,True,False,52.3,40.51,40.74,0.57,False,False,False,True,10:24,-0.34,False,6.0,False
WBD,SubSector_R12,3,False,True,90.7,30.8,30.83,0.1,True,False,False,False,10:03,5.47,False,6.0,False
ABT,SubSector_R12,3,True,True,87.3,102.98,103.69,0.69,False,True,False,False,8:49,-4.58,False,6.0,True
AMH,SubSector_R12,3,True,True,93.9,31.24,31.28,0.13,False,True,False,False,8:49,-4.37,False,6.0,True
AON,SubSector_R12,3,True,True,83.2,290.82,286.1,-1.62,False,True,False,False,8:49,-10.97,False,6.0,False
AXGN,Combined_R22,3,True,False,65.7,45.93,44.54,-3.03,False,True,False,True,8:49,-4.31,False,6.0,True
BSX,SubSector_R12,3,True,True,79.1,43.72,44.92,2.74,False,True,False,False,8:49,-5.01,False,6.0,True
CELH,SubSector_R12,3,True,False,61.1,28.02,29.38,4.85,True,True,False,True,8:49,-2.58,False,6.0,True
INVH,SubSector_R12,3,True,True,94.1,27.08,27.14,0.22,False,True,False,False,8:49,-5.04,False,6.0,True
KMB,SubSector_R12,3,True,True,89.0,97.74,98.91,1.2,False,True,False,False,8:49,-4.76,False,6.0,True
MAA,SubSector_R12,3,True,True,93.0,118.86,119.15,0.24,False,True,True,False,8:49,-6.68,False,0.0,True
PEP,SubSector_R12,3,True,True,92.4,129.59,131.19,1.23,False,True,True,False,8:49,-4.84,False,0.0,True
PLTR,AI_R13+SubSector_R12+Combined_R22,3,True,False,66.0,183.09,184.99,1.04,True,True,False,False,8:49,4.88,False,6.0,True
TEAM,SubSector_R12,3,True,False,58.4,195.67,188.65,-3.59,True,True,False,False,8:49,5.62,False,6.0,False
AJG,SubSector_R12,3,True,True,83.0,236.61,230.45,-2.6,False,True,False,False,8:49,-10.49,False,6.0,False
GILD,SubSector_R12+Combined_R22,3,False,True,88.1,150.56,152.67,1.4,True,True,False,False,8:44,4.26,False,6.0,True
LRN,SubSector_R12,3,True,True,77.9,79.5,78.69,-1.02,False,True,False,False,7:20,-4.85,False,6.0,False
CMG,SubSector_R12,3,True,False,75.0,33.14,32.63,-1.54,True,True,False,False,7:05,-8.13,False,6.0,False
INBK,10MA_R20_跌出,3,True,True,79.3,27.61,27.53,-0.29,False,False,False,True,5:51,-3.07,False,6.0,False
AVTR,10MA_R20,3,False,True,78.0,15.1,14.94,-1.06,True,False,False,True,4:45,1.42,False,6.0,False
REFI,10MA_R20,3,False,True,91.1,10.8,10.84,0.37,True,False,False,True,4:21,0.57,False,6.0,False
RUSHB,Combined_R22,3,False,True,79.2,53.61,54.46,1.59,True,False,False,True,12:33,1.04,False,7.0,False
FR,SubSector_R12,3,True,True,94.4,62.0,61.89,-0.18,False,False,False,True,11:53,-0.43,False,7.0,False
CYRX,Combined_R22,3,True,True,78.5,17.62,17.57,-0.28,True,False,False,False,11:11,8.24,False,7.0,False
TMO,SubSector_R12+10MA_R20+RateHike_R2_受惠,3,True,True,88.2,658.76,658.52,-0.04,True,False,False,False,10:55,5.24,False,7.0,False
MEDP,Combined_R22,3,True,True,84.5,624.2,630.19,0.96,True,False,False,False,10:38,4.24,False,7.0,False
HIMS,SubSector_R12,3,True,False,54.0,29.35,30.43,3.68,False,False,False,True,10:20,2.72,False,7.0,False
ACN,AI_R13+SubSector_R12,3,False,False,74.1,186.11,183.72,-1.28,True,True,False,True,8:49,-0.11,False,7.0,False
ALRS,Combined_R22,3,False,True,92.2,32.44,32.2,-0.74,False,True,False,True,8:49,-2.73,False,7.0,False
BXP,SubSector_R12,3,True,True,88.7,64.13,64.31,0.28,False,True,False,False,8:49,-3.44,False,7.0,True
CDNA,10MA_R20,3,True,False,63.8,54.33,56.49,3.98,True,True,False,False,9:33,11.22,False,7.0,False
CRCT,10MA_R20,3,True,False,72.6,5.65,5.81,2.83,False,True,False,True,8:49,2.4,False,7.0,True
