ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,data_warn,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
MET,2026-09-24,97.25,1.77,True,96.48,0.035,-0.12,True,92.6,0.3,92.3,True,1.82,1.32,81.7,-0.5,A 待突破,True,6:20,190.0,跌,56.0,5,True,1.0,-0.0948,-0.1216,-0.7013,True,True,0.8,0.44,95.5,1.8,0.99,291.5,,OHLC,—,HH/HL,自然回檔,True,268,6,MET,SubSector_R12+Combined_R22
KO,2026-09-24,88.1,1.31,True,88.86,0.055,0.14,True,93.9,0.09,93.8,True,1.48,1.35,65.2,0.1,A 待突破,True,8:49,264.6,跌,253.0,19,True,2.0,-0.1557,-0.1765,-0.4411,True,True,-0.86,-0.58,89.35,-1.42,-0.96,1393.9,,OHLC,—,LH/LL,自然回檔,True,268,6,KO,SubSector_R12+Combined_R22
AMAL,2026-09-24,47.21,1.05,False,48.27,-0.1,-0.39,True,90.8,0.34,90.5,True,2.23,1.33,54.5,3.6,C 基底修復,True,8:49,264.6,跌,309.0,34,True,0.0,-0.0825,-0.1114,-0.3844,True,True,-2.25,-1.01,48.02,-1.72,-0.77,12.1,,OHLC,↓,LH/LL,DT,False,268,5,AMAL,Combined_R22
ANF,2026-09-24,134.3,6.26,True,137.35,0.337,0.27,True,60.2,0.5,59.7,False,4.66,4.94,63.4,1.4,E 延伸,True,8:49,264.6,跌,133.0,9,True,0.0,-2.5575,-2.606,-2.606,True,True,-2.27,-0.49,139.89,-4.16,-0.89,241.4,,OHLC,↓,LH/LL,DT,False,268,5,ANF,MP_R21_差一項
CCBG,2026-09-24,49.31,1.04,False,50.75,-0.089,-0.45,True,91.9,0.2,91.7,True,2.12,1.2,41.8,3.0,C 基底修復,True,8:49,264.6,跌,280.0,36,True,0.0,-0.1682,-0.1755,-0.2574,True,True,-2.92,-1.38,51.56,-4.56,-2.16,3.8,,OHLC,↓,LH/LL,DT,False,268,5,CCBG,Combined_R22
CNQ,2026-09-24,47.93,1.29,True,50.02,0.02,0.24,True,85.8,0.32,85.5,True,2.69,1.92,47.1,3.1,C 基底修復,True,8:49,264.6,跌,121.0,14,True,0.0,-0.5379,-0.5504,-0.5504,True,False,-4.36,-1.62,51.55,-7.55,-2.8,357.7,,OHLC,↓,LH/LL,DT,False,268,5,CNQ,Combined_R22
CORT,2026-09-24,118.51,5.38,True,114.09,0.084,-0.13,True,65.1,0.24,64.8,False,4.54,4.05,72.7,12.1,A 待突破,True,8:49,264.6,跌,171.0,21,True,0.0,-0.0583,-0.4019,-1.9139,True,True,3.73,0.82,112.94,4.7,1.03,193.1,,OHLC,↑,HH/HL,UT,False,268,5,CORT,Combined_R22+MP_R21_差一項
HNST,2026-09-24,5.28,0.24,True,5.39,0.007,0.03,True,59.9,0.82,59.1,False,4.64,5.02,72.9,-2.2,B 上升結構,True,8:49,264.6,跌,145.0,12,True,0.0,-0.0805,-0.0857,-0.0917,True,True,-2.15,-0.46,5.55,-5.11,-1.1,11.5,,OHLC,—,LH/LL,DT,True,268,5,HNST,MP_R21_差一項
LIFE,2026-09-24,35.31,2.86,True,37.02,0.06,0.27,True,47.2,0.11,47.1,False,8.11,4.58,52.0,1.2,B 上升結構,True,8:49,264.6,跌,106.0,18,True,0.0,-0.9995,-1.0392,-1.0392,True,True,-4.83,-0.6,34.83,1.36,0.17,60.5,,OHLC,—,HH/HL,自然反彈,False,165,5,LIFE,MP_R21_差一項
PBF,2026-09-24,71.9,4.57,True,73.75,0.027,0.33,True,55.4,0.58,54.8,False,6.35,4.3,66.1,-4.6,B 上升結構,True,8:49,264.6,跌,107.0,9,True,0.0,-0.9349,-0.9352,-1.0895,True,True,-2.58,-0.41,71.85,0.07,0.01,293.1,,OHLC,↑,HH/HL,次級反彈,False,268,5,PBF,Combined_R22+MP_R21_差一項
