ticker,date,close,atr,c1,grav,grav_slope,grav_shift5atr,c2,volidx,volidx_slope,volidx_prev,c3,atr_pct,sd60_pct,vcp,vcp_slope,vcp_grade,c4,clock,theta,cycle,cyc_prog,cyc_days,c5,c5_days,hist,hist_prev,hist_trough,still_light,c6,dist_grav_pct,dist_grav_atr,lr_line,dist_lr_pct,dist_lr_atr,turnover20_m,bar_src,lr_dir,struct,mk,inBox,bars,score,symbol_used,lists
INFY,2026-09-21,10.89,0.34,False,11.71,-0.043,-0.72,True,80.3,0.78,79.5,True,3.11,2.58,17.1,2.1,D 趨勢弱,True,8:49,264.6,跌,219.0,26,True,0.0,-0.0712,-0.0756,-0.1364,True,False,-7.53,-2.42,11.6,-6.52,-2.09,159.5,OHLC,↓,LH/LL,DT,False,265,4,INFY,SubSector_R12
INGR,2026-09-21,97.03,1.87,False,102.5,-0.279,-0.48,True,92.5,0.25,92.2,True,1.93,1.24,8.2,0.2,D 趨勢弱,True,8:49,264.6,跌,116.0,18,True,0.0,-0.5655,-0.5684,-0.6673,True,False,-5.64,-2.92,102.24,-5.37,-2.78,61.0,OHLC,↓,LH/LL,DT,False,265,4,INGR,SubSector_R12
KMX,2026-09-21,57.86,1.88,False,60.25,-0.085,-0.01,True,83.0,0.62,82.4,True,3.24,1.92,46.5,-11.0,C 基底修復,True,8:49,264.6,跌,109.0,14,True,0.0,-0.6678,-0.6783,-0.6783,True,False,-4.13,-1.28,61.69,-6.62,-2.04,103.1,OHLC,↓,LH/LL,DT,False,265,4,KMX,Combined_R22
LEN,2026-09-21,78.08,2.7,False,82.05,-0.348,-0.87,True,80.8,0.7,80.2,True,3.45,2.12,6.4,3.9,D 趨勢弱,True,8:49,264.6,跌,118.0,16,True,0.0,-0.4235,-0.5094,-0.781,True,False,-5.09,-1.47,80.07,-2.55,-0.74,315.3,OHLC,↓,LH/LL,自然反彈,False,265,4,LEN,SubSector_R12+RateHike_R2_迴避
LILAK,2026-09-21,8.8,0.28,True,8.47,0.008,0.16,False,81.4,-0.16,81.5,True,3.19,2.29,68.1,-2.8,B 上升結構,True,8:49,264.6,跌,386.0,28,True,0.0,-0.0312,-0.0447,-0.0754,True,False,3.78,1.19,8.45,3.98,1.25,11.1,OHLC,—,HH/HL,自然反彈,True,265,4,LILAK,10MA_R20_跌出
LVS,2026-09-21,40.26,1.08,False,43.79,-0.157,-1.26,True,87.6,0.3,87.3,True,2.69,1.56,2.6,1.7,D 趨勢弱,True,8:49,264.6,跌,136.0,17,True,0.0,-0.3373,-0.3659,-0.3659,True,False,-8.78,-3.27,46.48,-15.45,-5.75,236.2,OHLC,↓,LH/LL,DT,False,265,4,LVS,SubSector_R12
MLM,2026-09-21,499.67,12.86,False,517.33,-1.629,-0.71,True,86.1,0.42,85.7,True,2.57,1.98,10.1,3.5,D 趨勢弱,True,8:49,264.6,跌,136.0,15,True,0.0,-0.2223,-0.8158,-2.9555,True,False,-3.53,-1.37,517.07,-3.48,-1.35,383.2,OHLC,—,LH/LL,DT,True,265,4,MLM,SubSector_R12
NKE,2026-09-21,36.1,1.0,False,38.52,-0.206,-1.06,True,85.2,0.23,85.0,True,2.78,1.96,4.8,3.3,D 趨勢弱,True,8:49,264.6,跌,384.0,37,True,0.0,-0.0893,-0.1384,-0.2221,True,False,-6.7,-2.41,39.6,-9.7,-3.49,1144.4,OHLC,↓,LH/LL,DT,False,265,4,NKE,SubSector_R12+Combined_R22
NNE,2026-09-21,17.1,1.22,False,18.01,-0.083,-0.33,True,49.1,2.02,47.1,False,7.13,5.04,8.8,8.8,D 趨勢弱,True,8:49,264.6,跌,110.0,8,True,0.0,-0.1052,-0.2022,-0.2845,True,True,-5.32,-0.75,16.97,0.76,0.11,32.2,OHLC,↓,LH/LL,自然反彈,False,265,4,NNE,AI_R13+SubSector_R12
O,2026-09-21,56.65,0.94,False,60.57,-0.221,-1.44,True,94.2,0.12,94.1,True,1.66,1.07,15.0,-0.3,D 趨勢弱,True,8:49,264.6,跌,157.0,18,True,0.0,-0.4015,-0.4147,-0.4354,True,False,-6.91,-4.16,61.97,-9.39,-5.65,376.0,OHLC,↓,LH/LL,DT,False,265,4,O,SubSector_R12
RVMD,2026-09-21,192.76,7.64,False,206.04,-0.344,-0.11,True,77.0,1.3,75.7,True,3.96,2.34,53.3,2.6,C 基底修復,True,8:49,264.6,跌,103.0,16,True,0.0,-2.6495,-2.6649,-2.6649,True,False,-6.89,-1.74,213.0,-10.5,-2.65,388.6,OHLC,↓,LH/LL,DT,False,265,4,RVMD,SubSector_R12+Combined_R22
TOST,2026-09-21,29.8,1.15,False,33.95,-0.127,-0.54,True,77.1,0.67,76.5,True,3.85,2.43,21.7,-0.0,D 趨勢弱,True,8:49,264.6,跌,227.0,17,True,0.0,-0.5462,-0.5529,-0.5718,True,False,-13.91,-3.61,33.29,-11.71,-3.04,255.9,OHLC,↓,LH/LL,DT,False,265,4,TOST,SubSector_R12
TTWO,2026-09-21,209.92,7.63,False,226.54,-1.357,-0.75,True,79.6,0.57,79.0,True,3.63,2.18,11.4,2.3,D 趨勢弱,True,8:49,264.6,跌,208.0,25,True,0.0,-0.4596,-0.6944,-2.869,True,False,-7.92,-2.18,222.91,-6.19,-1.7,606.4,OHLC,↓,LH/LL,自然反彈,False,265,4,TTWO,SubSector_R12
UNF,2026-09-21,264.0,6.56,False,276.36,-0.601,-0.86,True,90.7,0.34,90.4,True,2.48,1.1,39.8,1.8,C 基底修復,True,8:49,264.6,跌,276.0,35,True,0.0,-1.3422,-1.6146,-1.9871,True,False,-4.68,-1.88,263.13,0.33,0.13,96.1,OHLC,↓,LH/LL,DT,False,265,4,UNF,Combined_R22
USB,2026-09-21,60.44,1.19,False,62.35,-0.104,-0.73,True,92.2,0.34,91.8,True,1.97,1.27,48.9,2.7,C 基底修復,True,8:49,264.6,跌,533.0,46,True,0.0,-0.269,-0.29,-0.43,True,False,-3.15,-1.6,63.36,-4.83,-2.46,454.6,OHLC,↓,LH/LL,DT,False,265,4,USB,SubSector_R12+RateHike_R2_迴避
VICI,2026-09-21,24.05,0.43,False,25.52,-0.077,-1.1,True,92.8,0.12,92.7,True,1.78,1.3,5.5,0.6,D 趨勢弱,True,8:49,264.6,跌,206.0,17,True,0.0,-0.1273,-0.1406,-0.1406,True,False,-6.12,-3.44,25.93,-7.82,-4.39,244.7,OHLC,↓,LH/LL,DT,False,265,4,VICI,SubSector_R12
VMC,2026-09-21,246.2,6.54,False,263.18,-1.6,-1.23,True,86.3,0.2,86.1,True,2.66,1.85,6.0,3.8,D 趨勢弱,True,8:49,264.6,跌,185.0,24,True,0.0,-0.9841,-1.4522,-2.4499,True,False,-6.9,-2.6,281.19,-14.21,-5.35,263.1,OHLC,↓,LH/LL,自然反彈,False,265,4,VMC,SubSector_R12
