ticker,name,n_hit,hits,detail,avoid,c1_grade,c1_up,c1_sure,ss_rank,ss_score,ss_name,ai_group,ai_rank,ai_tf5,ma_rank,ma_tf,ma_vcp,ma_flag,rh,catalyst,score,miss,close,volidx,volidx_slope,grav_slope,clock,c5_cat,dist_grav_pct,turnover20_m,bars,hist_ok,vcp,vcp_grade,struct,four_17,close_17,chg1d_pct,clock_17,lists
NVDA,NVIDIA Corporation,3,chat1 Combined R22 ｜ chat2 SubSector R12 ｜ chat2 AI Sector R13,Weinstein 2A（線上 1/3） ｜ #14 AI加速晶片/GPU（5 日分 88，斜率 +0.49） ｜ A1 GPU / Accelerator 加速器 #4（群組 5 日分 91，個股強度 +0.159）,,C/2A/nan,80.2,25.9,14.0,88.2,AI加速晶片/GPU,A1 GPU / Accelerator 加速器,4.0,0.1594,,,,,,,5,⑥,227.38,82.2,0.24,0.083,7:00,第 3 根,3.05,30752.5,265,True,77.3,A 待突破,HH/HL,False,225.51,-0.82,10:05,AI_R13+SubSector_R12+Combined_R22
JNJ,Johnson & Johnson,2,chat1 Combined R22 ｜ chat2 SubSector R12,VCP A、Weinstein 2A、Pre-breakout A（線上 3/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,A/2A/A,90.9,22.6,18.0,84.5,大型藥廠,,,,,,,,,,5,⑤,269.47,91.3,0.03,0.4,7:57,第 5 根,0.44,1734.7,265,True,80.7,A 待突破,LH/LL,False,269.17,-0.11,8:49,SubSector_R12+Combined_R22
MRK,Merck,2,chat1 Combined R22 ｜ chat2 SubSector R12,VCP B、Weinstein 2A（線上 2/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,B/2A/nan,73.3,27.7,18.0,84.5,大型藥廠,,,,,,,,,,5,⑤,149.5,86.5,0.03,0.467,8:49,第 4 根,2.13,1526.4,265,True,76.5,A 待突破,LH/LL,False,148.08,-0.95,8:49,SubSector_R12+Combined_R22
DHR,,2,chat2 SubSector R12 ｜ chat3 加息 R2,#1 診斷與生命科學工具（5 日分 100，斜率 +0.24） ｜ 加息／地緣政治 3 日清單：受惠,,,,,1.0,100.0,診斷與生命科學工具,,,,,,,,受惠,,5,⑤,215.84,83.3,0.15,0.434,9:32,已中斷,2.98,772.4,265,True,67.3,B 上升結構,LH/LL,False,221.56,2.65,10:36,SubSector_R12+RateHike_R2_受惠
FCX,Freeport-McMoRan,2,chat1 Combined R22 ｜ chat2 SubSector R12,VCP B（線上 2/3） ｜ #25 銅與基本金屬（5 日分 78，斜率 +0.44）,,B/2B/nan,71.1,22.2,25.0,78.2,銅與基本金屬,,,,,,,,,,5,③,72.16,73.9,0.44,0.073,8:49,第 3 根,-1.23,981.3,265,True,76.6,B 上升結構,LH/LL,False,72.58,0.58,8:49,SubSector_R12+Combined_R22
MA,Mastercard,1,chat1 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/nan,77.2,27.7,,,,,,,,,,,,,5,⑤,567.65,93.7,0.16,0.077,8:49,第 7 根,-1.51,1504.6,265,True,63.6,C 基底修復,LH/LL,False,559.92,-1.36,8:49,SubSector_R12+Combined_R22
OFG,OFG Bancorp Common Stock,1,chat1 Combined R22,Pre-breakout A（線上 1/3）,,nan/nan/A,88.4,24.7,,,,,,,,,,,,,5,⑤,52.24,93.5,0.13,0.001,8:49,已中斷,-0.5,14.1,265,True,60.8,C 基底修復,HH/HL,False,51.56,-1.3,8:49,Combined_R22
JPM,JPMorgan Chase,1,chat1 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/nan,65.6,24.9,,,,,,,,,,,,,5,①,352.04,93.2,0.2,-0.131,8:49,第 2 根,-0.86,2410.1,265,True,53.5,C 基底修復,LH/LL,False,337.53,-4.12,8:49,SubSector_R12+Combined_R22
PLD,,1,chat2 SubSector R12,#11 工業與物流REIT（5 日分 91，斜率 +0.10）,,,,,11.0,90.9,工業與物流REIT,,,,,,,,,,5,①,135.82,93.1,0.1,-0.146,8:49,第 3 根,-1.89,453.3,265,True,38.9,C 基底修復,LH/LL,False,133.96,-1.37,3:31,SubSector_R12
ITGR,Integer Holdings Corporation,1,chat3 10MA R20,總表 #1（通過 4 個時間框，VCP 分 98.7）,,,,,,,,,,,1.0,4.0,98.7,套利釘價 · 距作價+0.5%,,7/31 KKR $127現金全購、溢價51.8% → 單日+20.2%,5,⑤,126.38,92.4,0.13,0.037,8:49,第 12 根,0.61,94.5,265,True,86.2,A 待突破,HH/HL,False,126.32,-0.05,8:49,10MA_R20
