ticker,name,n_hit,hits,detail,avoid,comb_grade,comb_up,comb_sure,ss_rank,ss_score,ss_name,ai_group,ai_rank,ai_tf5,mp_rank,mp_win,mp_score,mp_flag,rh,catalyst,score,miss,close,volidx,volidx_slope,grav_slope,clock,c5_cat,dist_grav_pct,turnover20_m,bars,hist_ok,vcp,vcp_grade,struct,lists
S,,1,chat3 SubSector R12,#5 網絡安全（5 日分 96，斜率 +0.18）,,,,,5.0,96.4,網絡安全,,,,,,,,,,2,③④⑤⑥,23.98,65.4,0.77,0.044,12:37,已中斷,9.01,217.9,268,True,57.7,E 延伸,LH/LL,SubSector_R12
CRSP,,1,chat3 SubSector R12,#32 基因治療與基因編輯（5 日分 72，斜率 +0.64）,,,,,32.0,71.8,基因治療與基因編輯,,,,,,,,,,2,②③④⑤,55.7,64.9,-0.23,0.006,11:09,已中斷,-1.43,90.5,268,True,35.1,C 基底修復,LH/LL,SubSector_R12
NET,"Cloudflare, Inc.",1,chat2 Combined R22,VCP B、Weinstein 2A（線上 2/3）,,B/2A/—,91.1,37.8,,,,,,,,,,,,🔥 資安／邊緣防護受惠,2,③④⑤⑥,358.82,64.4,0.29,1.474,2:41,已中斷,13.38,1034.4,268,True,61.1,E 延伸,HH/HL,AI_R13+Combined_R22
QUBT,,1,chat3 SubSector R12,#15 量子運算（5 日分 87，斜率 +0.38）,,,,,15.0,87.3,量子運算,,,,,,,,,,2,③④⑤⑥,9.16,64.2,0.15,0.01,12:02,已中斷,7.08,59.1,268,True,26.8,D 趨勢弱,LH/LL,SubSector_R12
GOLD,,1,chat3 SubSector R12,#28 黃金與貴金屬礦（5 日分 75，斜率 +0.24）,,,,,28.0,75.5,黃金與貴金屬礦,,,,,,,,,,2,①③④⑤,43.48,64.2,1.06,-0.014,5:32,已中斷,-3.73,35.2,268,True,19.0,D 趨勢弱,HH/HL,SubSector_R12
FLEX,,1,chat3 SubSector R12,#3 電子硬件與EMS/連接器（5 日分 98，斜率 +0.04）,,,,,3.0,98.2,電子硬件與EMS/連接器,,,,,,,,,,2,①③④⑤,112.4,63.9,0.12,-0.545,2:49,已中斷,0.3,366.9,268,True,61.1,D 趨勢弱,HH/HL,SubSector_R12
MDB,,1,chat3 SubSector R12,#4 資料/分析平台（5 日分 97，斜率 +0.29）,,,,,4.0,97.3,資料/分析平台,,,,,,,,,,2,①③④⑤,421.4,63.0,0.34,-0.469,10:03,已中斷,3.78,810.3,268,True,72.7,B 上升結構,LH/LL,AI_R13+SubSector_R12+Combined_R22
MOD,,1,chat3 SubSector R12,#10 AI資料中心建設（5 日分 92，斜率 +0.00）,,,,,10.0,91.8,AI資料中心建設,,,,,,,,,,2,①③④⑤,196.95,60.5,0.45,-0.35,2:49,—,3.04,226.8,268,True,28.7,D 趨勢弱,HH/HL,AI_R13+SubSector_R12+Combined_R22
VRT,,1,chat3 SubSector R12,#10 AI資料中心建設（5 日分 92，斜率 +0.00）,,,,,10.0,91.8,AI資料中心建設,,,,,,,,,,2,①③④⑤,245.3,58.9,0.87,-1.281,10:32,已中斷,-5.44,1365.8,268,True,28.1,D 趨勢弱,LH/LL,AI_R13+SubSector_R12+Combined_R22
PL,,1,chat3 SubSector R12,#7 太空與衛星（5 日分 95，斜率 +0.62）,,,,,7.0,94.5,太空與衛星,,,,,,,,,,2,①③④⑤,17.62,58.5,0.91,-0.18,11:30,已中斷,-5.49,219.6,268,True,9.6,D 趨勢弱,HH/HL,SubSector_R12
