ticker,name,n_hit,hits,detail,avoid,comb_grade,comb_up,comb_sure,ss_rank,ss_score,ss_name,ai_group,ai_rank,ai_tf5,mp_rank,mp_win,mp_score,mp_flag,rh,catalyst,score,miss,close,volidx,volidx_slope,grav_slope,clock,c5_cat,dist_grav_pct,turnover20_m,bars,hist_ok,vcp,vcp_grade,struct,lists
JNJ,Johnson & Johnson,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A、Weinstein 2A、Pre-breakout A（線上 3/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,A/2A/A,90.9,22.6,18.0,84.5,大型藥廠,,,,,,,,,,5,⑤,270.68,91.7,0.02,0.326,8:49,第 8 根,0.52,1752.1,268,True,80.3,A 待突破,LH/LL,SubSector_R12+Combined_R22
REGN,Regeneron,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A（線上 2/3） ｜ #19 大型生物科技（5 日分 84，斜率 +0.44）,,A/1→2/—,73.8,56.3,19.0,83.6,大型生物科技,,,,,,,,,,5,⑤,796.02,87.3,0.02,0.068,8:49,第 6 根,-1.42,565.3,268,True,56.8,A 待突破,HH/HL,SubSector_R12+Combined_R22+MP_R21_差一項
MRK,Merck,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B、Weinstein 2A（線上 2/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,B/2A/—,73.3,27.7,18.0,84.5,大型藥廠,,,,,,,,,,5,⑤,147.98,86.0,0.0,0.534,8:49,已中斷,0.22,1461.3,268,True,64.6,A 待突破,LH/LL,SubSector_R12+Combined_R22
V,Visa,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,76.4,21.1,,,,,,,,,,,,,5,②,367.98,93.8,-0.03,0.094,8:49,第 1 根,-0.7,2281.7,268,True,58.3,C 基底修復,LH/LL,SubSector_R12+Combined_R22
TRST,TrustCo Bank Corp NY Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,79.2,22.1,,,,,,,,,,,,,5,①,56.3,91.4,0.35,-0.007,6:44,第 1 根,-1.49,9.0,268,True,61.7,C 基底修復,LH/LL,Combined_R22
XOM,ExxonMobil,1,chat2 Combined R22,VCP A（線上 2/3）,⚠ 加息清單「迴避」,A/1→2/—,77.0,29.8,,,,,,,,,,,,⚠ 9/16 -3.5%，綜合油企同步下挫,5,④,162.14,88.9,0.08,0.109,5:49,第 2 根,-0.22,2382.5,268,True,60.0,A 待突破,HH/HL,SubSector_R12+Combined_R22+RateHike_R2_迴避
RPRX,Royalty Pharma,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/C,80.0,19.9,,,,,,,,,,,,,5,⑥,58.29,88.8,0.3,0.019,8:49,第 1 根,-3.16,199.3,268,True,49.5,C 基底修復,LH/LL,Combined_R22
SU,Suncor Energy  Inc. Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,81.8,23.8,,,,,,,,,,,,⚠ 9/16 -4.1%,5,④,68.65,85.9,0.08,0.247,5:56,第 1 根,1.22,330.9,268,True,74.7,A 待突破,HH/HL,Combined_R22
MSFT,Microsoft Corporation,1,chat2 Combined R22,VCP A、Weinstein 2A（線上 2/3）,,A/2A/—,90.2,34.6,,,,,,,,,,,,,5,⑤,497.93,85.9,0.06,0.034,8:49,第 6 根,0.43,10676.2,268,True,70.7,A 待突破,LH/LL,AI_R13+SubSector_R12+Combined_R22
CNQ,Canadian Natural Resources Limited Commo,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,79.2,25.7,,,,,,,,,,,,,5,⑥,47.93,85.8,0.32,0.02,8:49,第 1 根,-4.36,357.7,268,True,47.1,C 基底修復,LH/LL,Combined_R22
NHC,National HealthCare Corporation Common S,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,83.5,59.7,,,,,,,,,,,,,5,⑤,221.6,84.4,0.02,0.107,7:42,已中斷,-1.31,24.0,268,True,60.3,C 基底修復,HH/HL,Combined_R22
OXY,Occidental,1,chat2 Combined R22,VCP B（線上 2/3）,,B/1→2/—,71.2,27.5,,,,,,,,,,,,⚠ 9/16 -6.5%，原油急挫拖累 E&P，−6.5%,5,①,58.05,84.4,0.32,-0.03,7:18,第 2 根,-2.94,503.1,268,True,44.5,C 基底修復,HH/HL,SubSector_R12+Combined_R22
RGLD,,1,chat3 SubSector R12,#28 黃金與貴金屬礦（5 日分 75，斜率 +0.24）,,,,,28.0,75.5,黃金與貴金屬礦,,,,,,,,,,5,⑤,252.49,82.9,0.39,0.65,8:49,第 6 根,-0.14,173.9,268,True,43.9,C 基底修復,LH/LL,SubSector_R12
CVE,Cenovus Energy Inc Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,80.0,66.3,,,,,,,,,,,,⚠ 9/16 -4.1%，油砂股隨油價回落，−4.1%,5,⑤,31.28,81.7,0.3,0.057,7:42,已中斷,-3.13,210.8,268,True,65.8,A 待突破,HH/HL,Combined_R22
GNK,Genco Shipping & Trading Limited Ordinar,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.9,24.5,,,,,,,,,,,,,5,⑤,26.44,81.1,0.35,0.016,6:26,—,-1.56,18.4,268,True,60.2,A 待突破,HH/HL,Combined_R22
REPX,Riley Exploration Permian Inc.,1,chat1 動能回調 R21,總表 #26（動能 1月，爆發潛力 56.7）,,,,,,,,,,,26.0,1月,56.7,,,,5,④,41.69,79.7,0.75,0.101,4:50,第 1 根,0.82,17.4,268,True,52.1,B 上升結構,HH/HL,MP_R21
CHRD,Chord Energy Corporation Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.5,70.1,,,,,,,,,,,,⚠ 9/16 -6.3%，頁岩 E&P 隨油價回吐 9/15 升幅，−6.4%,5,⑥,140.02,78.5,0.54,0.081,7:03,第 1 根,-3.9,104.3,268,True,47.0,C 基底修復,HH/HL,Combined_R22
CBLL,CeriBell Inc.,1,chat1 動能回調 R21,總表 #28（動能 2月，爆發潛力 49.8）,,,,,,,,,,,28.0,2月,49.8,,,,5,⑤,23.82,75.9,0.63,0.072,8:49,已中斷,-1.77,8.6,268,True,76.6,A 待突破,HH/HL,MP_R21
CORT,Corcept Therapeutics Incorporated Common,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.3,17.7,,,,,,,,,,,,,5,③,118.51,65.1,0.24,0.084,8:49,第 1 根,3.73,193.1,268,True,72.7,A 待突破,HH/HL,Combined_R22+MP_R21_差一項
PBF,PBF Energy,1,chat2 Combined R22,VCP B（線上 2/3）,,B/2B/—,66.6,82.2,,,,,,,,,,,,🔥 煉油毛利擴張，9/15 +6.1%（9/16 隨油價回吐）,5,③,71.9,55.4,0.58,0.027,8:49,第 1 根,-2.58,293.1,268,True,66.1,B 上升結構,HH/HL,Combined_R22+MP_R21_差一項
PSX,Phillips 66,3,chat1 動能回調 R21 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,總表 #24（動能 3月，爆發潛力 60.4） ｜ #2 煉油與成品油（5 日分 99，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,2.0,99.1,煉油與成品油,,,,24.0,3月,60.4,,受惠,,4,④⑤,255.87,82.3,0.35,0.93,5:45,已中斷,0.85,872.7,268,True,65.6,B 上升結構,HH/HL,SubSector_R12+RateHike_R2_受惠+MP_R21
MPC,Marathon Petroleum Corporation,3,chat1 動能回調 R21 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,總表 #20（動能 2月/3月，爆發潛力 65.5） ｜ #2 煉油與成品油（5 日分 99，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,2.0,99.1,煉油與成品油,,,,20.0,2月/3月,65.5,今日放量（1.6× 50日均量）收喺 20MA 下面,受惠,,4,④⑤,390.95,79.0,0.34,1.649,5:09,—,0.94,1259.5,268,True,65.0,B 上升結構,HH/HL,SubSector_R12+RateHike_R2_受惠+MP_R21
ABBV,AbbVie,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A、Weinstein 2A、Pre-breakout A（線上 3/3） ｜ #18 大型藥廠（5 日分 85，斜率 +0.31）,,A/2A/A,94.1,34.4,18.0,84.5,大型藥廠,,,,,,,,,,4,④⑤,265.12,91.1,0.17,0.486,12:30,已中斷,2.16,1086.2,268,True,82.1,A 待突破,HH/HL,SubSector_R12+Combined_R22
GILD,Gilead,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A（線上 2/3） ｜ #19 大型生物科技（5 日分 84，斜率 +0.44）,,A/1→2/—,74.5,31.7,19.0,83.6,大型生物科技,,,,,,,,,,4,②⑤,149.69,88.1,-0.13,0.495,8:49,已中斷,1.65,875.4,268,True,66.8,A 待突破,HH/HL,SubSector_R12+Combined_R22
VRTX,Vertex Pharma,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP A（線上 2/3） ｜ #19 大型生物科技（5 日分 84，斜率 +0.44）,,A/1→2/—,78.2,28.3,19.0,83.6,大型生物科技,,,,,,,,,,4,①⑤,522.38,87.8,0.03,-0.09,8:49,第 7 根,-1.38,549.7,268,True,67.4,A 待突破,HH/HL,SubSector_R12+Combined_R22
RS,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#6 鋼鐵（5 日分 95，斜率 +0.23） ｜ 加息／地緣政治 3 日清單：受惠,,,,,6.0,95.5,鋼鐵,,,,,,,,受惠,,4,①④,385.77,86.6,0.63,-0.898,5:09,第 1 根,-2.37,120.4,268,True,62.9,C 基底修復,HH/HL,SubSector_R12+RateHike_R2_受惠
NUE,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#6 鋼鐵（5 日分 95，斜率 +0.23） ｜ 加息／地緣政治 3 日清單：受惠,,,,,6.0,95.5,鋼鐵,,,,,,,,受惠,,4,①④,247.96,81.2,0.83,-0.479,5:28,第 1 根,-2.34,308.3,268,True,62.3,C 基底修復,LH/LL,SubSector_R12+RateHike_R2_受惠
STLD,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#6 鋼鐵（5 日分 95，斜率 +0.23） ｜ 加息／地緣政治 3 日清單：受惠,,,,,6.0,95.5,鋼鐵,,,,,,,,受惠,,4,①④,235.2,79.6,0.8,-0.552,5:05,第 2 根,-0.99,235.0,268,True,62.4,C 基底修復,LH/LL,SubSector_R12+RateHike_R2_受惠
FCX,Freeport-McMoRan,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B（線上 2/3） ｜ #25 銅與基本金屬（5 日分 78，斜率 +0.44）,,B/2B/—,71.1,22.2,25.0,78.2,銅與基本金屬,,,,,,,,,,4,③⑤,72.08,74.2,0.5,0.05,8:49,第 6 根,-1.7,888.9,268,True,65.5,B 上升結構,LH/LL,SubSector_R12+Combined_R22
UBSI,United Bankshares,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,75.7,16.3,,,,,,,,,,,,,4,①④,46.53,94.6,0.11,-0.065,5:43,第 1 根,-1.9,49.8,268,True,50.0,C 基底修復,LH/LL,Combined_R22
EGP,,1,chat3 SubSector R12,#11 工業與物流REIT（5 日分 91，斜率 +0.10）,,,,,11.0,90.9,工業與物流REIT,,,,,,,,,,4,④⑤,202.5,94.3,0.18,0.134,2:43,已中斷,0.76,101.2,268,True,43.4,C 基底修復,HH/HL,SubSector_R12
STAG,,1,chat3 SubSector R12,#11 工業與物流REIT（5 日分 91，斜率 +0.10）,,,,,11.0,90.9,工業與物流REIT,,,,,,,,,,4,④⑤,37.29,94.0,0.17,0.009,2:49,—,0.33,57.7,268,True,24.0,D 趨勢弱,LH/LL,SubSector_R12
OFG,OFG Bancorp Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,88.4,24.7,,,,,,,,,,,,,4,①⑤,51.74,93.6,0.18,-0.028,8:49,已中斷,-1.33,14.5,268,True,59.2,C 基底修復,HH/HL,Combined_R22
PFE,,1,chat3 SubSector R12,#18 大型藥廠（5 日分 85，斜率 +0.31）,,,,,18.0,84.5,大型藥廠,,,,,,,,,,4,②⑤,28.41,93.1,-0.08,0.071,8:49,第 6 根,1.8,946.7,268,True,70.8,C 基底修復,HH/HL,SubSector_R12
RRBI,Red River Bancshares Inc. Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,90.5,25.5,,,,,,,,,,,,,4,①⑤,100.1,92.2,0.07,-0.097,7:16,—,-1.75,6.6,268,True,59.6,C 基底修復,LH/LL,Combined_R22
ALRS,Alerus Financial Corporation Common Stoc,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,88.6,26.2,,,,,,,,,,,,,4,①②,32.21,92.1,-0.0,-0.063,8:49,第 1 根,-2.37,5.2,268,True,54.7,C 基底修復,LH/LL,Combined_R22
BNS,Bank Nova Scotia Halifax Pfd 3 Ordinary ,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,89.0,31.3,,,,,,,,,,,,,4,④⑤,92.23,92.1,0.17,0.101,4:48,已中斷,0.2,162.6,268,True,82.8,A 待突破,HH/HL,Combined_R22
GWW,W.W. Grainger,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,69.8,11.5,,,,,,,,,,,,,4,①⑤,1279.47,92.0,0.0,-0.673,9:44,已中斷,-1.04,327.4,268,True,49.9,C 基底修復,HH/HL,Combined_R22
UNP,Union Pacific,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/C,74.5,16.6,,,,,,,,,,,,,4,①⑥,274.07,91.4,0.16,-0.52,8:49,第 3 根,-6.42,706.9,268,True,31.2,D 趨勢弱,LH/LL,SubSector_R12+Combined_R22
CSX,CSX,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/C,75.2,15.1,,,,,,,,,,,,,4,①⑥,46.95,91.1,0.29,-0.099,8:49,第 3 根,-4.65,519.4,268,True,41.6,C 基底修復,LH/LL,SubSector_R12+Combined_R22
EXPD,Expeditors International of Washington I,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,90.1,64.6,,,,,,,,,,,,,4,②⑤,183.66,90.4,-0.7,0.051,7:48,已中斷,-2.81,188.7,268,True,54.8,C 基底修復,LH/LL,Combined_R22
BMY,,1,chat3 SubSector R12,#18 大型藥廠（5 日分 85，斜率 +0.31）,,,,,18.0,84.5,大型藥廠,,,,,,,,,,4,①⑥,61.5,89.6,0.33,-0.148,8:49,第 1 根,-5.04,660.2,268,True,39.3,C 基底修復,LH/LL,SubSector_R12
LH,Labcorp,1,chat2 Combined R22,VCP A、Weinstein 2A（線上 2/3）,,A/2A/—,86.1,25.0,,,,,,,,,,,,,4,①⑥,308.95,88.4,0.29,-0.523,8:49,第 1 根,-4.48,261.3,268,True,35.4,C 基底修復,LH/LL,Combined_R22
AMGN,,1,chat3 SubSector R12,#19 大型生物科技（5 日分 84，斜率 +0.44）,,,,,19.0,83.6,大型生物科技,,,,,,,,,,4,①⑤,406.04,85.7,0.37,-0.205,9:23,已中斷,-0.85,1218.8,268,True,53.8,B 上升結構,LH/LL,SubSector_R12
MEDP,Medpace Holdings Inc. Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,88.7,29.6,,,,,,,,,,,,,4,④⑤,620.59,84.0,0.11,0.989,11:25,已中斷,2.47,142.0,268,True,72.1,A 待突破,HH/HL,Combined_R22
DJCO,Daily Journal Corp. (S.C.),1,chat1 動能回調 R21,總表 #23（動能 1月，爆發潛力 60.6）,,,,,,,,,,,23.0,1月,60.6,,,,4,④⑤,655.01,80.0,0.19,2.887,4:27,—,3.7,42.5,268,True,67.7,A 待突破,HH/HL,MP_R21
URBN,Urban Outfitters,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,76.2,27.9,,,,,,,,,,,,,4,①⑥,74.78,78.8,0.32,-0.065,8:49,第 3 根,-3.73,90.7,268,True,52.5,C 基底修復,LH/LL,Combined_R22
GEO,Geo Group Inc (The) REIT,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,73.3,29.3,,,,,,,,,,,,,4,①②,31.96,78.5,-0.08,-0.001,8:49,第 2 根,2.04,73.7,268,True,77.9,A 待突破,HH/HL,Combined_R22
VEEV,Veeva Systems Inc. Class A,1,chat1 動能回調 R21,總表 #1（動能 1月/2月/3月，爆發潛力 83.7）,,,,,,,,,,,1.0,1月/2月/3月,83.7,,,,4,⑤⑥,274.84,78.1,0.74,1.104,8:49,第 4 根,3.57,533.9,268,True,52.5,B 上升結構,HH/HL,MP_R21
LPG,Dorian LPG Ltd.,1,chat1 動能回調 R21,總表 #25（動能 3月，爆發潛力 59.9）,,,,,,,,,,,25.0,3月,59.9,,,,4,④⑤,54.05,77.1,0.04,0.22,4:45,—,2.51,33.2,268,True,66.0,B 上升結構,HH/HL,MP_R21
SCCO,,1,chat3 SubSector R12,#25 銅與基本金屬（5 日分 78，斜率 +0.44）,,,,,25.0,78.2,銅與基本金屬,,,,,,,,,,4,③⑤,201.58,73.3,0.64,0.138,8:49,第 7 根,-0.14,225.0,268,True,70.7,B 上升結構,LH/LL,SubSector_R12
NOW,ServiceNow Inc.,1,chat1 動能回調 R21,總表 #6（動能 1月/2月/3月，爆發潛力 80.5）,,,,,,,,,,,6.0,1月/2月/3月,80.5,,,,4,③⑤,137.78,68.4,0.15,0.362,8:49,已中斷,2.35,2170.1,268,True,53.2,C 基底修復,LH/LL,AI_R13+SubSector_R12+Combined_R22+MP_R21
ZETA,Zeta Global Holdings Corp. Class A,1,chat1 動能回調 R21,總表 #14（動能 2月/3月/6月，爆發潛力 73.8）,,,,,,,,,,,14.0,2月/3月/6月,73.8,,,,4,③⑤,29.57,66.3,0.15,0.035,8:49,已中斷,-1.89,210.4,268,True,71.9,B 上升結構,LH/LL,MP_R21
ESTC,Elastic N.V.,1,chat1 動能回調 R21,總表 #4（動能 1月/2月/3月/6月，爆發潛力 82.4）,,,,,,,,,,,4.0,1月/2月/3月/6月,82.4,,,,4,③⑤,91.28,66.2,0.86,0.23,8:49,第 8 根,2.14,268.4,268,True,61.8,B 上升結構,HH/HL,MP_R21
AMPL,Amplitude Inc. Class A,1,chat1 動能回調 R21,總表 #12（動能 2月/3月/6月，爆發潛力 76.9）,,,,,,,,,,,12.0,2月/3月/6月,76.9,,,,4,②③,13.69,63.6,-0.36,0.057,8:49,第 2 根,3.37,22.5,268,True,74.7,B 上升結構,LH/LL,MP_R21
IOT,Samsara Inc.,1,chat2 Combined R22,VCP B、Weinstein 2A（線上 2/3）,,B/2A/—,82.3,38.4,,,,,,,,,,,,,4,①③,39.32,61.9,0.81,-0.018,6:05,第 2 根,-1.58,317.4,268,True,56.6,B 上升結構,HH/HL,Combined_R22
PLSE,Pulse Biosciences Inc,1,chat1 動能回調 R21,總表 #8（動能 2月/3月/6月，爆發潛力 79.6）,,,,,,,,,,,8.0,2月/3月/6月,79.6,回調唔係有序回落：期內有一日跌 -10.1%,,,4,③⑤,51.83,50.9,1.38,0.189,8:49,已中斷,1.16,36.2,268,True,70.6,B 上升結構,HH/HL,MP_R21
TSM,Taiwan Semiconductor (ADR),3,chat2 Combined R22 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,VCP B（線上 2/3） ｜ #9 晶圓代工/IDM（5 日分 93，斜率 +0.44） ｜ 加息／地緣政治 3 日清單：受惠,,B/2B/—,86.9,21.7,9.0,92.7,晶圓代工/IDM,,,,,,,,受惠,,3,④⑤⑥,451.15,84.9,0.42,0.455,12:07,已中斷,5.6,4318.1,268,True,70.5,B 上升結構,HH/HL,AI_R13+SubSector_R12+Combined_R22+RateHike_R2_受惠
NVDA,NVIDIA Corporation,3,chat2 Combined R22 ｜ chat3 SubSector R12 ｜ chat3 AI Sector R13,Weinstein 2A（線上 1/3） ｜ #14 AI加速晶片/GPU（5 日分 88，斜率 +0.49） ｜ A1 GPU / Accelerator 加速器 #4（群組 5 日分 91，個股強度 +0.159）,,C/2A/—,80.2,25.9,14.0,88.2,AI加速晶片/GPU,A1 GPU / Accelerator 加速器,4.0,0.1594,,,,,,,3,①④⑤,224.58,83.2,0.32,-0.011,10:37,已中斷,1.66,28133.8,268,True,74.5,A 待突破,LH/LL,AI_R13+SubSector_R12+Combined_R22
VLO,Valero Energy Corporation,3,chat1 動能回調 R21 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,總表 #17（動能 1月/2月/3月，爆發潛力 70.9） ｜ #2 煉油與成品油（5 日分 99，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,2.0,99.1,煉油與成品油,,,,17.0,1月/2月/3月,70.9,今日放量（2.3× 50日均量）收喺 20MA 下面,受惠,,3,②④⑤,382.86,78.0,-0.0,1.635,5:22,—,1.85,1482.7,268,True,63.1,B 上升結構,HH/HL,SubSector_R12+RateHike_R2_受惠+MP_R21
DINO,HF Sinclair Corporation,3,chat1 動能回調 R21 ｜ chat3 SubSector R12 ｜ chat3 加息 R2,總表 #15（動能 1月/3月/6月，爆發潛力 72.2） ｜ #2 煉油與成品油（5 日分 99，斜率 +0.62） ｜ 加息／地緣政治 3 日清單：受惠,,,,,2.0,99.1,煉油與成品油,,,,15.0,1月/3月/6月,72.2,今日放量（1.7× 50日均量）收喺 20MA 下面,受惠,,3,③④⑤,105.79,73.4,0.36,0.595,4:18,—,1.76,312.5,268,True,61.0,B 上升結構,HH/HL,SubSector_R12+Combined_R22+RateHike_R2_受惠+MP_R21
SNOW,Snowflake Inc.,3,chat1 動能回調 R21 ｜ chat2 Combined R22 ｜ chat3 SubSector R12,總表 #11（動能 2月/3月/6月，爆發潛力 77.0） ｜ VCP B（線上 2/3） ｜ #4 資料/分析平台（5 日分 97，斜率 +0.29）,,B/2B/—,81.7,37.1,4.0,97.3,資料/分析平台,,,,11.0,2月/3月/6月,77.0,,,,3,①③⑤,334.0,70.8,0.63,-0.025,8:49,已中斷,-0.01,1865.1,268,True,75.8,B 上升結構,HH/HL,AI_R13+SubSector_R12+Combined_R22+MP_R21
AAPL,,2,chat3 SubSector R12 ｜ chat3 AI Sector R13,"#3 電子硬件與EMS/連接器（5 日分 98，斜率 +0.04） ｜ A4 運算 IP / SoC / Edge 裝置 Compute IP, SoC & Edge #6（群組 5 日分 84，個股強度 +0.327）",,,,,3.0,98.2,電子硬件與EMS/連接器,"A4 運算 IP / SoC / Edge 裝置 Compute IP, SoC & Edge",6.0,0.3271,,,,,,,3,④⑤⑥,335.92,89.5,0.33,0.907,2:49,—,4.16,14105.0,268,True,70.7,E 延伸,HH/HL,AI_R13+SubSector_R12
EQIX,,2,chat3 SubSector R12 ｜ chat3 AI Sector R13,#12 資料中心REIT（5 日分 90，斜率 +0.23） ｜ G2 數據中心 REIT + 中國算力 #8（群組 5 日分 78，個股強度 +0.161）,,,,,12.0,90.0,資料中心REIT,G2 數據中心 REIT + 中國算力,8.0,0.1612,,,,,,,3,①④⑤,1034.76,86.8,0.63,-0.823,10:20,已中斷,-1.36,532.0,268,True,56.3,C 基底修復,LH/LL,AI_R13+SubSector_R12
DLR,,2,chat3 SubSector R12 ｜ chat3 AI Sector R13,#12 資料中心REIT（5 日分 90，斜率 +0.23） ｜ G2 數據中心 REIT + 中國算力 #8（群組 5 日分 78，個股強度 +0.266）,,,,,12.0,90.0,資料中心REIT,G2 數據中心 REIT + 中國算力,8.0,0.2656,,,,,,,3,①⑤⑥,181.0,84.3,0.79,-0.44,8:49,已中斷,-3.65,390.0,268,True,43.3,C 基底修復,LH/LL,AI_R13+SubSector_R12
NEM,Newmont,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B（線上 2/3） ｜ #28 黃金與貴金屬礦（5 日分 75，斜率 +0.24）,,B/1→2/—,69.0,23.5,28.0,75.5,黃金與貴金屬礦,,,,,,,,,,3,②⑤⑥,121.3,77.1,-0.12,0.113,8:49,已中斷,-3.63,978.4,268,True,61.8,B 上升結構,LH/LL,SubSector_R12+Combined_R22+MP_R21_差一項
SNPS,,2,chat3 SubSector R12 ｜ chat3 加息 R2,#23 EDA與半導體IP（5 日分 80，斜率 +0.28） ｜ 加息／地緣政治 3 日清單：受惠,,,,,23.0,80.0,EDA與半導體IP,,,,,,,,受惠,,3,④⑤⑥,424.91,76.0,0.01,0.273,10:04,已中斷,4.42,816.4,268,True,24.5,D 趨勢弱,LH/LL,AI_R13+SubSector_R12+Combined_R22+RateHike_R2_受惠
PLTR,Palantir Technologies Inc.,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B（線上 2/3） ｜ #4 資料/分析平台（5 日分 97，斜率 +0.29）,,B/2B/—,86.3,25.9,4.0,97.3,資料/分析平台,,,,,,,,,,3,③⑤⑥,192.59,67.1,0.2,0.613,9:59,已中斷,8.03,4915.2,268,True,59.7,B 上升結構,HH/HL,AI_R13+SubSector_R12+Combined_R22
DELL,,2,chat3 SubSector R12 ｜ chat3 AI Sector R13,#3 電子硬件與EMS/連接器（5 日分 98，斜率 +0.04） ｜ E1 Server ODM/OEM 伺服器整合 #1（群組 5 日分 100，個股強度 +0.565）,,,,,3.0,98.2,電子硬件與EMS/連接器,E1 Server ODM/OEM 伺服器整合,1.0,0.5647,,,,,,,3,③④⑤,536.02,54.4,0.11,1.662,3:36,—,4.87,5787.7,268,True,59.7,E 延伸,HH/HL,AI_R13+SubSector_R12+Combined_R22+MP_R21_差一項
LITE,Lumentum Holdings Inc.,2,chat2 Combined R22 ｜ chat3 SubSector R12,VCP B（線上 2/3） ｜ #22 光通訊/CPO（5 日分 81，斜率 +0.30）,,B/2B/—,60.8,31.6,22.0,80.9,光通訊/CPO,,,,,,,,,🔥 9/16 +9.6%，Deutsche Bank 以買入／目標價 $1200 初評 Evercore ISI 以 O,3,③④⑤,929.04,46.4,0.39,0.416,11:46,已中斷,2.06,4039.8,268,True,61.9,B 上升結構,HH/HL,AI_R13+SubSector_R12+Combined_R22+MP_R21_差一項
FR,,1,chat3 SubSector R12,#11 工業與物流REIT（5 日分 91，斜率 +0.10）,,,,,11.0,90.9,工業與物流REIT,,,,,,,,,,3,①④⑤,61.36,94.4,0.2,-0.072,1:03,已中斷,-1.08,60.7,268,True,28.0,C 基底修復,LH/LL,SubSector_R12
JPM,JPMorgan Chase,1,chat2 Combined R22,Weinstein 2A（線上 1/3）,,C/2A/—,65.6,24.9,,,,,,,,,,,,,3,①⑤⑥,338.56,92.4,0.3,-0.762,8:49,已中斷,-4.21,2594.1,268,True,39.3,C 基底修復,LH/LL,SubSector_R12+Combined_R22
TRV,,1,chat3 加息 R2,加息／地緣政治 3 日清單：受惠,,,,,,,,,,,,,,,受惠,,3,①④⑤,362.39,90.6,0.12,-0.304,4:18,已中斷,-1.95,551.2,268,True,60.8,C 基底修復,HH/HL,SubSector_R12+RateHike_R2_受惠
IMO,Imperial Oil Limited Common Stock,1,chat2 Combined R22,Pre-breakout A（線上 1/3）,,—/—/A,75.5,21.3,,,,,,,,,,,,⚠ 9/16 -3.7%,3,①⑤⑥,124.57,87.5,0.29,-0.116,8:49,已中斷,-5.55,84.0,268,True,42.1,C 基底修復,HH/HL,Combined_R22
UNM,Unum Group,1,chat2 Combined R22,VCP A、Weinstein 2A（線上 2/3）,,A/2A/—,85.0,55.5,,,,,,,,,,,,,3,②④⑤,91.11,86.9,-1.34,0.018,5:30,—,-2.5,190.2,268,True,56.4,C 基底修復,LH/LL,Combined_R22
GOOGL,,1,chat3 SubSector R12,#8 大型網絡平台與數位廣告（5 日分 94，斜率 +0.02）,,,,,8.0,93.6,大型網絡平台與數位廣告,,,,,,,,,,3,①④⑤,342.36,84.8,0.39,-0.101,1:33,已中斷,-0.28,9238.3,268,True,46.8,C 基底修復,HH/HL,AI_R13+SubSector_R12+Combined_R22
